,uuid,predicate_id,predicate_label,obj_label,sub_label,sub_uri
0,c510f7f5-809a-4532-8c3f-c2d4bdef2504,P364,original language of film or TV show,Russian,The Scarlet Flower,Q3209019
1,4abc77f4-5663-44e7-a9f5-5506688d2808,P364,original language of film or TV show,English,"England, Their England",Q5377956
2,3bba68c1-ffda-4ce9-9178-757bd6fb2529,P364,original language of film or TV show,French,The Hunchback of Notre Dame,Q191380
3,92430d0f-ac61-4553-bc49-30d993f141a1,P364,original language of film or TV show,Telugu,Gowtam SSC,Q5590145
4,e6af234e-8548-424d-b2e1-eb85ca088e9f,P364,original language of film or TV show,English,Black Narcissus,Q252529
5,64b4bf8f-a152-4910-8cd1-0e7770735f0f,P364,original language of film or TV show,English,The God Delusion,Q245265
6,74a5cf68-121b-4784-8a91-fe986d05bd1c,P364,original language of film or TV show,Persian,The Glass Agency,Q5799936
7,5f8c9e42-6f9f-4bf7-8f2b-bae0fff61beb,P364,original language of film or TV show,Telugu,Swagatam,Q7652939
8,bd20d8a9-8700-49aa-b1d3-1b4ec42be369,P364,original language of film or TV show,Spanish,Vecinos,Q2997713
9,3e973240-2c53-4f36-b7da-6204ec01d16c,P364,original language of film or TV show,English,"Over Sea, Under Stone",Q3283906
10,16e39e07-21b8-47e8-a058-0eb22e734d9f,P364,original language of film or TV show,Spanish,Life is a Dream,Q138174
11,d6ce8368-7dd3-4636-a08e-092740143a40,P364,original language of film or TV show,Croatian,Glas Slavonije,Q1286940
12,fd63e0a8-f2c8-4e62-bbbb-277bf391ca6b,P364,original language of film or TV show,Dutch,Tow Truck Pluck,Q7829514
13,5f953015-11ff-4703-a17f-4b0a3b5f8bfa,P364,original language of film or TV show,English,Face Dances,Q576763
14,dceca5df-540f-4690-b710-7acc05b331e1,P364,original language of film or TV show,Hebrew,Zero Motivation,Q17351649
15,ac4ba9fc-98e7-4e3f-a563-6fd25f329c91,P364,original language of film or TV show,English,Southcliffe,Q16964861
16,d85cbdaf-a822-4de0-9ca2-e8209f113277,P364,original language of film or TV show,English,Daddio,Q2066981
17,a0ea09f0-f43b-43ca-b4b5-70190ddb8600,P364,original language of film or TV show,English,An Actor Prepares,Q2400310
18,511429eb-760e-489c-b7d2-9d7b289d4075,P364,original language of film or TV show,French,Around the Moon,Q1327411
19,5977c5e8-8195-4d7d-a93a-17ed1db4611f,P364,original language of film or TV show,French,Le chalet,Q2063125
20,dc9878b9-1c21-4e87-bb7d-af9ca709c330,P364,original language of film or TV show,Hindi,Maya Darpan,Q6796678
21,953d2d34-726f-4f83-91ad-fd8bf92c3020,P364,original language of film or TV show,Korean,Arahan,Q510456
22,6a27651d-7a6c-4258-b359-9672bc08ca8e,P364,original language of film or TV show,Italian,The Truce,Q3824693
23,565d4684-b223-4c82-95c2-4fbd35ecb449,P364,original language of film or TV show,English,The Lion King,Q36479
24,fa2f73b7-4d9c-4971-84f5-2f17c4ea244f,P364,original language of film or TV show,Indonesian,Janji Joni,Q12487339
25,c27c9870-9440-4ac1-8a65-c1973114560f,P364,original language of film or TV show,French,Planet of the Apes,Q2418926
26,1b3b81d4-64a5-44bf-bb6c-794ebc4a543a,P364,original language of film or TV show,Telugu,Eenadu,Q3764157
27,ccf28829-b015-49e3-a9c2-6d4cf3903195,P364,original language of film or TV show,Hindi,Baaz,Q797519
28,a1f27bc7-c611-4b04-9094-11eeb9690be0,P364,original language of film or TV show,English,Radio Times,Q3461827
29,2b3df5ef-09c0-430d-b8d0-5bbe88cf7d59,P364,original language of film or TV show,English,Strange Brew,Q7621346
30,afaf0281-d04a-4cbd-b618-2479b21067c8,P364,original language of film or TV show,English,Voodoo Lounge,Q1123979
31,29f79da1-5040-4e49-9a81-3c05c67ca652,P364,original language of film or TV show,Breton,Barzaz Breiz,Q809694
32,8ae66c3b-f9df-499d-9201-bafb12a5ca04,P364,original language of film or TV show,French,Zampa,Q145935
33,75b2cf63-45e8-41e2-bb0b-15be1bad3e8f,P364,original language of film or TV show,English,Odd Man Out,Q778772
34,88833d55-640c-4735-a08d-1182c8aa5cc4,P364,original language of film or TV show,Italian,Maometto II,Q1417349
35,13ff6339-06fd-4848-ab3f-c36c6bef1f4d,P364,original language of film or TV show,Tamil,Anandha Jodhi,Q4751359
36,d730546d-4c5e-4ba5-9bb2-d437b5e1d38d,P364,original language of film or TV show,Telugu,Alludu Sreenu,Q16974667
37,8840e579-9fde-417a-82c5-941100ac996a,P364,original language of film or TV show,English,Human Touch,Q1459255
38,58d51f1e-db5d-42c2-9db3-03242326b952,P364,original language of film or TV show,Telugu,Vishwanatha Nayakudu,Q10972601
39,42bce090-ef4b-4a7c-befe-9a8546bc5098,P364,original language of film or TV show,Korean,Peppermint Candy,Q448464
40,0a2f1de3-2dd1-4d5f-b5ba-8b8b47bd5940,P364,original language of film or TV show,Tamil,Maya Kannadi,Q6796707
41,eba4d634-1e02-4dcd-9837-95aefcb8e734,P364,original language of film or TV show,Korean,Tank Knights Fortress,Q484050
42,f948c59b-44f1-4e6e-b6e8-045b412e5413,P364,original language of film or TV show,Chinese,The Vagrant,Q7771902
43,1db5ceb0-2814-4836-9da9-9e9a693eec9c,P364,original language of film or TV show,German,Die Tageszeitung,Q161423
44,21e69496-5424-4e78-a805-01a96cdf2b74,P364,original language of film or TV show,English,The Perfect Kiss,Q3124000
45,1016b5b5-f189-4585-9d4b-c2397b0d1391,P364,original language of film or TV show,English,Flying Rhino Junior High,Q2356626
46,8bdd42a2-a42e-4475-8f4f-052a0832b2d2,P364,original language of film or TV show,English,The Day Today,Q7729195
47,b1b7b478-dff2-4d11-939a-2e8e913501e4,P364,original language of film or TV show,Korean,Yonggary,Q489379
48,24c1f377-9fb9-425b-ba8c-79437fc987e4,P364,original language of film or TV show,Finnish,Hamlet Goes Business,Q1573625
49,139b1c04-f000-4ad2-be09-9ba79611c36c,P364,original language of film or TV show,Korean,The Big Swindle,Q7717816
50,2d66e6ee-1437-4702-8cae-b4a963f8a692,P364,original language of film or TV show,Tamil,Un Samayal Arayil,Q7882022
51,4a9dd354-5882-468a-9176-cf571b04c22c,P364,original language of film or TV show,Hindi,Kyaa Dil Ne Kahaa,Q6450621
52,1c9c5468-2c97-476c-a609-8c2daa19907e,P364,original language of film or TV show,French,The Intouchables,Q595
53,63c2b20a-ca9b-4216-af25-3c1a8dd4e026,P364,original language of film or TV show,Italian,Tolomeo,Q1419468
54,e57d82a4-0f71-40f7-b5b4-d7f740841513,P364,original language of film or TV show,Hungarian,X-Faktor,Q1414839
55,33b7d1cb-5e3e-4bf5-a754-26d7ccb9b137,P364,original language of film or TV show,Telugu,Little Soldiers,Q6651990
56,688ac18c-a903-486b-8145-4172accf8139,P364,original language of film or TV show,English,The Young Victoria,Q755171
57,3ca37101-3510-41da-b1ac-66b069cb2575,P364,original language of film or TV show,French,La Fontaine's Fables,Q2748292
58,5c1f4bbf-4157-4c0f-af0c-70c24d9a34ff,P364,original language of film or TV show,Finnish,The Harvest Month,Q7738968
59,b6b9d2c8-3a0a-4908-9a04-50f47f7346df,P364,original language of film or TV show,German,Der kleine Vampir,Q186314
60,3df00c7e-67c9-42ed-b61f-4d1da8dc6dbe,P364,original language of film or TV show,Korean,A Frozen Flower,Q484709
61,a9eb5775-76a0-43d2-bd96-508424268f34,P364,original language of film or TV show,Russian,The Fatal Eggs,Q2524790
62,b038cadf-5bfc-4334-86c1-a7b9fdd3b17b,P364,original language of film or TV show,Hindi,Hindustan Ki Kasam,Q5766817
63,14e0a2d9-d38c-4084-a95e-e9fdfa2ed149,P364,original language of film or TV show,English,Play It Again,Q7203024
64,875a8141-62ed-48ec-bd78-2a995c9a69aa,P364,original language of film or TV show,Tamil,Nanneri,Q6963823
65,1b7136ca-a163-4d07-877e-fb15ad42dba9,P364,original language of film or TV show,English,Two English Girls,Q232091
66,64c566a5-6300-43d1-a63f-b4eead6e2fce,P364,original language of film or TV show,Hindi,Mithya,Q6881734
67,31b346bc-5de0-459f-8a08-1e7575c8411c,P364,original language of film or TV show,French,The Marriage of Figaro,Q1199684
68,d6068caa-6df6-4049-b721-a6cbba5faf12,P364,original language of film or TV show,English,The Irish Times,Q1134208
69,96eeb9da-e459-4390-9c36-34b3c897494d,P364,original language of film or TV show,French,The Names of Love,Q1195980
70,a068813d-56cf-4b89-b86b-ba76af6e3ea3,P364,original language of film or TV show,Portuguese,Brava Gente,Q9666182
71,53e00b40-fbb6-4f02-ab7c-02e97e5d7bfb,P364,original language of film or TV show,French,The Purple Taxi,Q2395242
72,64b2a6d0-1835-48bd-b298-7168f9501179,P364,original language of film or TV show,Korean,Infinite Challenge,Q21141
73,0f753988-c65a-43bf-a7de-6b8c85bfa9f8,P364,original language of film or TV show,Korean,I Need Romance,Q491414
74,7a0cdf19-7583-4924-8d95-d1bf8698605c,P364,original language of film or TV show,Swedish,Wild Birds,Q8000541
75,c6214be0-0b56-4c52-b9e7-b3708a949bc4,P364,original language of film or TV show,Tamil,Thillu Mullu,Q7784189
76,0da07cd9-6231-4af0-8355-967d20205a3f,P364,original language of film or TV show,Tamil,Rasigan,Q7295040
77,f5c35c53-1377-4f0c-b700-ada8585bec48,P364,original language of film or TV show,Tamil,Vathiyar,Q7917113
78,c418615c-ca86-4810-a2e5-f33528daab5f,P364,original language of film or TV show,Telugu,Attarintiki Daredi,Q15286542
79,1dcb886f-6087-46c9-af67-1e1e3d91fe96,P364,original language of film or TV show,English,Love Actually,Q190588
80,e77d69ec-6f60-45cd-bd58-bb4780be473d,P364,original language of film or TV show,French,Seducing Doctor Lewis,Q1218528
81,55d21abf-a9c7-4865-a86e-7a2ee549238a,P364,original language of film or TV show,English,That Girl,Q276690
82,d9caf566-8789-4bea-b9ab-0345e6049688,P364,original language of film or TV show,English,My Bloody Valentine 3D,Q1137784
83,022174fa-f343-4b89-ae31-804edd55bf32,P364,original language of film or TV show,English,Hallmark Hall of Fame,Q1247468
84,52176109-976b-4d93-94d5-fafcafc6689f,P364,original language of film or TV show,Tamil,Manmadha Leelai,Q6750636
85,8a897f92-e471-47d6-a29a-65041eade279,P364,original language of film or TV show,English,Adventure Time,Q53093
86,da81aae2-7873-4fac-81dc-a23e0387e2fe,P364,original language of film or TV show,French,The Miser,Q389933
87,cc8d2331-ddb8-4b56-8566-9e038900cc8f,P364,original language of film or TV show,Tamil,Punnagai Desam,Q7260449
88,0836c2b2-cb23-4293-84cc-d31a85b25744,P364,original language of film or TV show,Malayalam,Desadanam,Q5263592
89,168958b7-6ac9-404d-9796-bb684995e295,P364,original language of film or TV show,French,La colombe,Q4890037
90,098aab57-76bd-42cb-b934-ef5ad0ad2012,P364,original language of film or TV show,Italian,Quelli dell'intervallo,Q6828075
91,3f0c82b6-c003-42b9-bc9f-531178caaa2a,P364,original language of film or TV show,Hindi,Kaminey,Q3031575
92,29ca6d0d-5178-4b51-8778-7ec51e308c3e,P364,original language of film or TV show,Latin,The Golden Ass,Q1044767
93,15900eb8-c890-407c-b640-3ff68863dd68,P364,original language of film or TV show,Latin,Tusculanae Disputationes,Q1233156
94,2c21efb9-8f7f-464d-b6a7-4f1069015c25,P364,original language of film or TV show,English,Football Weekly,Q8564356
95,ac6bc129-57e4-4bd3-84ba-2ec269a138f2,P364,original language of film or TV show,English,I Love Lucy,Q181943
96,e3dbc983-1a52-4df5-a76b-cb02b4b6a77e,P364,original language of film or TV show,French,Dom Juan,Q179485
97,b0fdeafb-7f5d-4ca5-9157-767a9803ce21,P364,original language of film or TV show,English,Redfern Now,Q7305830
98,c771cb2f-280a-4a06-a4a4-8dc1a7091d24,P364,original language of film or TV show,Telugu,Nirdoshi,Q7039938
99,362b8699-26ab-4857-a9af-db1510a0b06d,P364,original language of film or TV show,French,Athalie,Q754687
100,b09612df-0233-4f9d-aefb-5fb0665afb4f,P364,original language of film or TV show,Bengali,Galpa Holeo Satyi,Q5519310
101,f745c018-7288-468c-aa4e-16279601896c,P364,original language of film or TV show,Spanish,Three Men of the River,Q6152210
102,a3b134d4-cd3e-4804-b797-c730085f456b,P364,original language of film or TV show,French,Plus belle la vie,Q1381883
103,55963f1e-05b7-42c1-baf5-37f1907e19ed,P364,original language of film or TV show,Korean,Natural City,Q562396
104,48b4bdbc-4284-4d61-8d45-753e24e7eb5c,P364,original language of film or TV show,French,8 Women,Q274895
105,b42f14e7-9dfd-4c44-b3ef-30f1179be101,P364,original language of film or TV show,Telugu,Khaleja,Q1010104
106,1408236e-9c07-4677-be95-084130153397,P364,original language of film or TV show,English,The Divergent Series,Q17512668
107,fb932986-de61-4fbb-abd4-ecb853ee7a7a,P364,original language of film or TV show,English,Cheers,Q732063
108,402a0589-bcc2-423c-be4e-f5a2989ce062,P364,original language of film or TV show,French,Monster Buster Club,Q899205
