,uuid,predicate_id,predicate_label,obj_label,sub_label,location_is_obj,location_is_sub,obj_uri,sub_uri,Unnamed: 0_y,geolocation_sub,geolocation_obj
0,cb7007d9-673f-4fa5-8308-ddf2ae28b8c2,P36,capital,Baku,Azerbaijan,True,True,Q227,Q227,4836,"(40.3936294, 47.7872508)","(40.163999149999995, 50.27770925520258)"
1,0994628e-262a-40cd-96f6-578358f299b9,P36,capital,Brody,Brody Raion,True,True,Q2599799,Q2599799,4837,"(50.06244985, 25.05890105312845)","(50.0833041, 25.1437921)"
2,4168a6fb-d710-4678-93f9-9447927a0a35,P36,capital,Chicago,Cook County,True,True,Q108418,Q108418,4838,,"(41.8755616, -87.6244212)"
3,9e0027e7-1efc-4d79-a8c0-1a3ed0e8a00a,P36,capital,Richmond,Fort Bend County,True,True,Q26895,Q26895,4839,"(29.511218, -95.7807348)",
4,b2b50148-a91a-4aa9-9936-13ae0212afa9,P36,capital,Auburn,Cayuga County,True,True,Q115182,Q115182,4840,"(42.8093409, -76.5700777)","(32.6405377, -85.4626848)"
5,dc8d5e48-7be1-47a0-ab82-da3642dba53f,P36,capital,Windsor,City of Hawkesbury,True,True,Q1539297,Q1539297,4841,"(-33.4195729, 150.90742886224882)","(51.4837886, -0.6040418665032687)"
6,2df52b5c-d16d-4517-9df2-913fee016efa,P36,capital,Strasbourg,Grand Est,True,True,Q18677983,Q18677983,4842,,"(48.584614, 7.7507127)"
7,454ec3b3-01a1-4044-aa21-78d96ec169e7,P36,capital,Shreveport,Caddo Parish,True,True,Q177562,Q177562,4843,"(32.529173, -93.8931785)","(32.5135356, -93.7477839)"
8,3bc51dee-0ae6-40ba-863f-5549382dd210,P36,capital,Lincoln,Nebraska,True,True,Q1553,Q1553,4844,,"(40.8088861, -96.7077751)"
9,475ea259-014d-42d0-8a86-e3431f52b6a8,P36,capital,Winchester,Hampshire,True,True,Q23204,Q23204,4845,"(42.3432499, -72.6213339)","(51.0612766, -1.3131692)"
10,6be22d11-8eb8-4fc5-a882-509f2a697a8e,P36,capital,Alexandria,Alexandria Governorate,True,True,Q29943,Q29943,4846,"(30.943298300000002, 29.765645040071266)",
11,0e0afe8f-d4be-4c94-aa3e-889a36d6e512,P36,capital,Colombo,Colombo District,True,True,Q606287,Q606287,4847,"(6.84766905, 79.92575843196202)","(6.9388614, 79.8542005)"
12,6e0942fa-96c8-4a07-b72e-83519b16db11,P36,capital,Florence,Kingdom of Italy,True,True,Q172579,Q172579,4848,"(41.9009603, 12.464392449999998)","(43.7698712, 11.2555757)"
13,af4d8d27-eee5-47a2-9fff-055e3cb98298,P36,capital,Helsinki,Grand Duchy of Finland,True,True,Q62633,Q62633,4849,,"(60.1674881, 24.9427473)"
14,484a9394-c718-46b4-aa57-85ccb91a48c5,P36,capital,Hyderabad,Telangana,True,True,Q677037,Q677037,4850,"(17.8495919, 79.1151663)","(17.360589, 78.4740613)"
15,074fd4a8-66ab-4b78-ae5f-b77fa9b82662,P36,capital,Carlisle,Carlisle,True,True,Q1094110,Q1094110,4851,"(54.8948478, -2.9362311)","(54.8948478, -2.9362311)"
16,9180a17d-1d35-4065-8397-2043009c3d6a,P36,capital,Adelaide,South Australia,True,True,Q35715,Q35715,4852,"(-30.5343665, 135.6301212)",
17,c648e8a9-e84c-4a5d-abc1-9ba3bf122762,P36,capital,Edinburgh,Kingdom of Scotland,True,True,Q230791,Q230791,4853,"(55.92314355, -3.251801987935081)","(55.9533456, -3.1883749)"
18,441512f3-e1ed-4fea-a959-8128db18fc31,P36,capital,Warsaw,Second Polish Republic,True,True,Q207272,Q207272,4854,,"(52.2337172, 21.071432235636493)"
19,9a81130b-85b7-432e-aa89-80db6479faec,P36,capital,Dhaka,Dhaka District,True,True,Q1850485,Q1850485,4855,"(23.780471849999998, 90.35832872412647)","(23.7644025, 90.389015)"
20,3b3d2078-18e9-457e-a318-1ece5f03c57d,P36,capital,Moscow,Reichskommissariat Moskowien,True,True,Q2630442,Q2630442,4856,,"(55.625578, 37.6063916)"
21,626194d7-b4c0-4c0d-9576-fa049c85d6b2,P36,capital,Jackson,Breathitt County,True,True,Q491843,Q491843,4857,"(37.5248869, -83.2943551)","(32.2998686, -90.1830408)"
22,7e1c50f8-327a-479c-893a-8e125a64b718,P36,capital,Hermann,Gasconade County,True,True,Q490386,Q490386,4858,"(38.4575789, -91.5177499)",
23,e3a4d929-e59a-4764-8b47-0d88e79bcbbe,P36,capital,Christchurch,Canterbury Region,True,True,Q657004,Q657004,4859,"(41.6984209, -71.9710811)","(-43.530955, 172.6364343)"
24,f1a67e10-9770-4621-95ed-68ab0e921f4e,P36,capital,Paris,Kingdom of France,True,True,Q70972,Q70972,4860,"(47.2165729, -1.548861)","(48.8588897, 2.3200410217200766)"
25,1cf60588-b75b-4907-9c4a-0a0fd49128e7,P36,capital,Stade,Bremen-Verden,True,True,Q694594,Q694594,4861,"(53.0229319, 9.0593595)","(53.599794, 9.475438)"
26,b29289d1-a758-43f2-9561-773f8c1d9efb,P36,capital,Edmonton,Alberta,True,True,Q1951,Q1951,4862,"(55.001251, -115.002136)","(53.5462055, -113.491241)"
27,d2e7322d-6af5-40eb-8c6f-3bf3bfeacf6e,P36,capital,Athens,Athens County,True,True,Q485588,Q485588,4863,"(39.355589, -82.0610404)","(37.9755648, 23.7348324)"
28,81ad99cc-6d5e-48aa-ab8a-8cd91fdec383,P36,capital,Monaco,La Condamine,True,True,Q55095,Q55095,4864,"(43.7341489, 7.4217593)","(48.1371079, 11.5753822)"
29,88cb7951-a602-4add-89ad-55ea4d0ed62e,P36,capital,Camden,Ouachita County,True,True,Q61138,Q61138,4865,"(33.5680929, -92.9355875)","(39.9448402, -75.1198911)"
30,aa0c6755-5881-4892-8e12-e817868a3b62,P36,capital,Berlin,Germany,True,True,Q183,Q183,4866,,"(52.5170365, 13.3888599)"
31,d9fd3835-c870-4ed3-a45e-d410a09562fd,P36,capital,Yerevan,First Republic of Armenia,True,True,Q139670,Q139670,4867,,"(40.1777112, 44.5126233)"
32,53141b1b-c5a9-402c-8ec8-2c70e0e8c8e8,P36,capital,Aberdeen,Aberdeenshire,True,True,Q189912,Q189912,4868,"(57.166667, -2.666667)",
33,1b17d731-b749-4cb9-946f-74fc77525144,P36,capital,Indianapolis,Indiana,True,True,Q1415,Q1415,4869,,"(39.7683331, -86.1583502)"
34,7db1a7d5-ea73-42d9-a33c-126bebe57f78,P36,capital,Boone,Watauga County,True,True,Q502880,Q502880,4870,"(36.2228105, -81.6863808)","(42.321246, -88.8235511)"
35,52b246db-fa40-46b3-aac8-25c677c7bb88,P36,capital,Salvador,State of Brazil,True,True,Q11876909,Q11876909,4871,"(50.8345612, 12.9181399)","(13.8000382, -88.9140683)"
36,5dcb6002-af6e-4d0f-8e5d-b1e38069a5c3,P36,capital,Pontiac,Oakland County,True,True,Q498024,Q498024,4872,"(42.6618842, -83.3804439)","(42.6389216, -83.2910468)"
37,2b9bae59-f465-4ec8-acb5-e80a7902f605,P36,capital,Paris,Second French Empire,True,True,Q71092,Q71092,4873,,"(48.8588897, 2.3200410217200766)"
