,uuid,predicate_id,predicate_label,obj_label,sub_label,sub_uri,gender
0,d1880380-a65c-4254-a994-98dd52835e76,P20,place of death,Iraq,Akihiko Saito,Q3607331,male
1,a0cce876-0920-43e3-921b-3198d65e64e2,P20,place of death,Paris,Charles Nodier,Q336010,male
2,def35ae0-40d7-4fff-9f28-29b1cfa17d59,P20,place of death,Baltimore,Jack Laurence Chalker,Q1398751,male
3,a7239566-254f-4e82-9567-b6f3f56d49a5,P20,place of death,Leicester,Laurel Aitken,Q536566,male
4,d5dd95d9-ff0d-441d-a5d8-b0ae5397e839,P20,place of death,Athens,Georgios Roilos,Q330960,male
5,fe1ddf8b-096c-4b91-bcc2-99e0465df5a0,P20,place of death,Vienna,Salomon Sulzer,Q85958,male
6,a431d8f9-2a7a-4add-ad81-3f72c562a1fd,P20,place of death,Rome,Michelangelo,Q5592,male
7,1f306436-ba28-4354-b77d-7143d037d45f,P20,place of death,Paris,Louis Vola,Q961534,male
8,6b8ee45c-75af-409f-a2f7-9e0b84a945ed,P20,place of death,Munich,Mark Lothar,Q1454572,male
9,f2294d5f-357d-4472-938e-dc3f179424d6,P20,place of death,Bonn,Friedrich August Theodor Winnecke,Q60861,male
10,c6243ee5-a2f8-4e26-90e0-33cdb937e3c4,P20,place of death,London,James Northcote,Q3161307,male
11,d58fbaeb-cdbd-4a08-abfc-db89fedbb6d9,P20,place of death,Hamburg,Christian Heinrich Postel,Q90787,male
12,2c5251bb-2795-494c-adaf-f766eeec60d3,P20,place of death,Helsinki,Fredrik Idestam,Q2271104,male
13,2b35045b-d0f6-4427-b7a2-2e648230f21c,P20,place of death,Madrid,Santiago Carrillo,Q298789,male
14,3175f78b-98d0-4016-a806-27797e535ef0,P20,place of death,Paris,Pierre Cartellier,Q924019,male
15,912de01d-1563-43f0-b6aa-a6f8a23eaace,P20,place of death,Minsk,Isaac Boleslavsky,Q357815,male
16,f3cbf4bd-f6ff-4209-8311-5385c43a9956,P20,place of death,Karachi,Joseph Cordeiro,Q1706794,male
17,ae354b4c-7e47-4e0f-8532-ded693f85eae,P20,place of death,Amsterdam,Gillis Valckenier,Q433486,male
18,1696b8fd-c345-4e5d-a4ea-88c49f247774,P20,place of death,London,George Frampton,Q2265709,male
19,8311a35e-f1e8-4fc7-b704-12fd9d0502a6,P20,place of death,Paris,Coco Chanel,Q45661,female
20,dc27646b-6d7c-4cd7-8676-6c44df62197c,P20,place of death,Paris,Madame de Montesson,Q448927,female
21,a5dcdc2b-12e2-4731-bfa7-3ba55ec8296f,P20,place of death,Geneva,Said Ramadan,Q562375,male
22,8fbce334-e643-42b7-9d30-1b8bf4bfcfaa,P20,place of death,Vienna,Peter Strudel,Q321520,male
23,40184497-973e-4da3-9ce8-454ae2cc6517,P20,place of death,London,Ambrose,Q436594,male
24,9984d10a-8d4a-4949-a2b7-05a88de0d9ab,P20,place of death,London,Benjamin Waterhouse Hawkins,Q817732,male
25,01ac1e9e-c409-4867-8ea9-39281493b12f,P20,place of death,Leipzig,Julius Klengel,Q77222,male
26,4f98ac57-ba8e-4206-b8ff-43e5928c6319,P20,place of death,Parma,Giovanni Battista Trotti,Q2427816,male
27,823b8a62-09fd-4b15-835f-03522dd18644,P20,place of death,London,Henry De la Beche,Q302176,male
28,c59b694b-ba62-47ef-a1c6-60d030aadb1a,P20,place of death,Boston,Charles Sprague Sargent,Q1066128,male
29,fe1164ff-8fd8-47ed-9c01-d4423640475c,P20,place of death,Edinburgh,Anne Redpath,Q4768742,female
30,167159fe-d0ce-4f30-a6cf-f5d239b52b80,P20,place of death,Rome,Giacomo Barozzi da Vignola,Q297565,male
31,11e25299-dddc-4059-b05d-1a6c79756dd7,P20,place of death,Houston,Red Munger,Q7304648,male
